rutaImagen,etiqueta,estado,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000061.jpg,pliers,exito,2.582475561848872,5.359658902589234,9.257826807714457,9.264833047005379,-9.999999999138064,9.995995512502667,-9.99999999996786
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000062.jpg,pliers,exito,2.5810986829009877,6.284702777953499,7.897959985053118,8.863225055242214,9.999999991807472,9.996092846123044,9.99999997955764
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000063.jpg,pliers,exito,2.7490462358205097,6.128017926767347,8.87472388011688,9.507395440796557,9.999999999533404,9.999386721191122,-9.99999999997453
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000064.jpg,pliers,exito,2.6758872404103933,5.782409941318306,8.899868411645047,9.415018193689088,-9.999999999398273,9.99847004319091,9.999999999623379
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000065.jpg,pliers,exito,2.8897717060358312,6.025832968595426,9.483056860467924,9.501844248989995,9.99999999979339,9.999095398812742,9.999999999988363
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000066.jpg,pliers,exito,2.9376817356335945,6.224289289933135,9.272074766941776,9.713934424047997,9.9999999999211,9.99971383700895,-9.999999999979648
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000067.jpg,pliers,exito,3.0291055393843056,6.356498126044353,9.989913450197681,9.996678810521555,9.999999999999996,9.999998053638688,9.999999999999998
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000068.jpg,pliers,exito,2.7837898142387374,6.424337300593556,9.53235654042815,9.939786862634513,9.999999999996957,9.999960547492389,9.99999999999834
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000069.jpg,pliers,exito,3.006404250483481,6.906695469351202,9.415818724627483,9.97371562519176,-9.99999999999935,-9.999990638122084,9.999999999999064
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000070.jpg,pliers,exito,2.6485420545219136,5.5597942759714005,8.792512754173389,9.710751493767546,9.999999999852463,9.999342144260487,9.99999999995081
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000071.jpg,pliers,exito,2.8380155156755134,6.157494060223974,9.285348037313948,9.977196890770504,-9.999999999999128,9.99998201068021,-9.99999999999931
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000072.jpg,pliers,exito,2.594886539305617,5.276775069924023,9.998757251159184,9.599603377319363,-9.999999999996186,9.998490573010393,9.999999999997945
